name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,β-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Vitamin D,Linoleic Acid,Alpha-Linolenic Acid,snack,rice,special,soup,kimchi,side_dish,side_dish1,side_dish2,empty,밀,쌀,메밀,감자,대두,땅콩,들깨,참깨,씨앗,돼지,오리,닭,기타가금류,소,난류,우유,붉은살생선,흰살생선,기타,장어,멸치,게,새우,가재,"조개,꼬막",굴,"홍합,담치",오징어,문어,낙지,고둥,소라,전복,오이,마늘,샐러리,당근,브로콜리,양파,겨자,후추,토마토,체리,자두,키위,바나나,사과,배,코코넛,복숭아,메론,수박,시트러스,망고,아황산류,견과류,땅콩+견과류,other
"(밀,참깨제외)차돌숙주볶음",83.54,182.5738,7.74645,15.11969,3.7846,0.6744,9.2854,0.77015,172.6204,3.78,1.7808,3.9284,0.039709,0.120651,2.65045,0.0,263.07122,12.80944,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
차돌양배추볶음,91.56,185.6876,7.79905,15.419516,3.96522,1.04972,18.4506,0.825832,166.1814,3.78,389.6816,36.25346667,0.035189,0.1081514,5.85963,0.0,385.698516,19.167596,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)차돌양배추볶음,91.28,183.12,7.79905,15.140664,3.964828,1.04972,18.3302,0.820932,166.1366,3.78,389.6508,36.2509,0.035189,0.1079554,5.85963,0.0,269.159016,17.6722,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(우유제외)채소스크램블에그,87.08,98.9058,5.93418,6.47374,3.62572,0.546,37.5074,1.01724,114.4682,57.12,423.0548,92.37456667,0.051254,0.221578,19.7561,8.9992,1272.03412,366.57698,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
채소스크램블에그,87.08,99.3258,5.94398,6.38974,3.92112,0.448,42.1274,0.94584,109.4282,64.82,423.0548,100.0745667,0.046074,0.236138,18.4961,8.778,1033.69812,330.87418,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
청경채불고기,98.7,144.6998,7.56868,11.40874,3.173408,0.99904,29.0374,1.261624,164.0856,10.92,545.0816,56.34346667,0.039032,0.2262568,5.74336,0.0,334.889632,25.389896,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)청경채불고기,98.42,142.1322,7.56868,11.129888,3.173016,0.99904,28.917,1.256724,164.0408,10.92,545.0508,56.3409,0.039032,0.2260608,5.74336,0.0,218.350132,23.8945,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
춘천닭갈비,105.28,108.024,9.11547,4.536924,7.892668,1.45992,26.7442,0.734692,134.0766,21.0,649.7148,75.1429,0.123711,0.1541834,6.10267,0.0,23.530416,13.30868,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)춘천닭갈비,102.48,106.708,8.99059,4.522924,7.643748,1.30032,18.4562,0.681212,134.0486,21.0,437.8948,57.49123334,0.114499,0.1399594,6.02623,0.0,21.584136,6.44784,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
치즈닭갈비,111.02,130.1902,12.80132,4.473728,9.532796,1.25244,86.079,0.477484,255.0968,7.28,210.6748,24.83623333,0.128086,0.1178408,5.86908,0.0,670.113332,338.96408,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
