0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,allergy
잡곡밥,실파콩나물국,달걀새송이장조림,새우편마늘볶음밥,맑은가쓰오부시장국,돼지고기짜장볶음,empty,비트초절이,고구마밥,유부팽이국,감자돼지갈비찜,깻잎새콤무침,나박김치,잡곡밥,맑은건새우시금치국,닭감자조림,새우편마늘볶음밥,무채국,과일샐러드(요거트드레싱),empty,백김치,수수밥,새송이버섯국,감자돼지갈비찜,깻잎새콤무침,백김치,"난류,대두"
팥밥,으깬두부된장국,알감자조림,닭살카레감자밥+양념장,늙은호박국,온두부+양념장,세발나물무침,동치미,찹쌀밥,만두국,주꾸미채소간장볶음,팽이버섯나물,비트초절이,율무밥,소고기무국,알감자조림,닭살파프리카볶음밥,맑은단배추국,새우깐풍기,세발나물무침,깍두기,찹쌀현미밥,늙은호박국,주꾸미채소간장볶음,팽이버섯나물,백김치,"난류,우유,대두"
밤밥,만두국,느타리버섯나물,닭살카레감자밥+양념장,바지락된장국,팽이버섯부추나물,고구마순된장무침,비트초절이,밤콩밥,유부김치국,햄참치채소전,마늘쫑무침,열무김치,차조밥,만두국,느타리버섯나물,닭살카레감자밥+양념장,바지락된장국,춘권튀김,팽이버섯부추나물,백김치,밤콩밥,유부김치국,햄참치채소전,마늘쫑무침,열무김치,땅콩+견과류
밤밥,미니새우튀김우동,마늘쫑무침,고구마밥,어묵맑은국,매생이육전,고구마줄기볶음,나박김치,쌀밥,새우살미역국,토마토치즈샐러드,양배추샐러드(참깨드레싱),백김치,오므라이스,감자양파국,마늘쫑무침,고구마밥,순두부국,가자미유자청구이,청경채나물,나박김치,쌀밥,새우살미역국,소고기찹쌀구이,오이토마토샐러드(발사믹드레싱),백김치,"우유,밀,땅콩+견과류"
밤찹쌀팥밥,감자탕,순살닭볶음탕,쌀밥,바지락된장국,참나물볶음,코다리엿장조림,나박김치,수수밥,팥죽,장산적조림,갈치카레튀김,파김치,현미밥,감자탕,참나물볶음,쌀밥,바지락맑은국,소고기오이볶음,"(밀,참깨제외)코다리엿장조림",나박김치,수수밥,맑은건새우무국,갈치구이,단호박조림,파김치,"난류,밀,대두,땅콩+견과류"
완두콩밥,두부대합탕국,가지나물,율무밥,감자양파국,애호박당근볶음,양상추유자청무침,콜라비나박김치,새송이버섯카레라이스,모듬버섯찌개,오리훈제채소구이,토마토카프레제,열무물김치,완두콩밥,두부대합탕국,가지나물,율무밥,감자양파국,소고기폭찹,양상추유자청무침,콜라비나박김치,유부초밥,모듬버섯찌개,오리훈제채소구이,토마토카프레제,열무물김치,밀
콩밥,떡국떡미역국,팽이버섯나물,두부카레라이스,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,율무밥,애호박두부된장국,empty,감자그라탕,나박김치,콩밥,떡국떡미역국,잔멸치아몬드볶음,돼지불고기덮밥,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,율무밥,콩나물맑은국,닭가슴살데리야끼조림,감자채피망볶음,나박김치,"난류,밀"
보리밥,미역만두국,양념가지찜,돼지고기양배추덮밥,느타리버섯국,오이토마토샐러드(발사믹드레싱),매콤콩나물무침,나박김치,밤찹쌀팥밥,만두닭개장,empty,애호박볶음,깻잎김치,보리밥,닭곰탕,양념가지찜,다진소고기김치볶음밥,느타리버섯국,오이토마토샐러드(발사믹드레싱),시금치나물,백김치,찹쌀밥,미역국,돼지고기갈비찜,애호박볶음,깻잎김치,"난류,우유,대두,땅콩+견과류"
검정콩밥,실파콩나물국,감자채볶음,찹쌀밥,맑은가쓰오부시장국,양배추샐러드(레몬드레싱),참나물겉절이,열무물김치,장조림버터비빔밥,두부장국,부추달걀볶음,건새우두부조림,석박지,검정콩밥,안매운닭개장,감자채볶음,찹쌀밥,콩나물국,소고기찹쌀구이,참나물유자청무침,배추김치,게살비빔밥,청경채맑은국,연근조림,김자반볶음,깍두기,"난류,우유,밀"
콩밥,무채양파국,닭가슴살사과무침,치킨마요덮밥,감자채맑은국,녹두전,양배추유자청무침,단무지,완두콩밥,바지락파래국,닭살카레조림,김자반,열무김치,차조밥,무채양파국,닭가슴살채소볶음,멸치주먹밥,미역국,(밀제외)깻잎동태포전,양배추유자청무침,단무지무침,흑미밥,바지락맑은국,돼지고기찹쌀구이,김자반,열무김치,"우유,밀,대두,땅콩+견과류"
